Date : 2022-07-04 17:38:58
Directory : /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src
Total : 123 files,  7064 codes, 332 comments, 1566 blanks, all 8962 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/classes/date.gd                          | GDScript     |         88 |         14 |         18 |        120 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/classes/passwords.gd                     | GDScript     |         78 |          8 |         28 |        114 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/classes/record.gd                        | GDScript     |         17 |          0 |          3 |         20 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/classes/salsa.gd                         | GDScript     |         63 |         11 |         23 |         97 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/classes/settings.gd                      | GDScript     |         41 |          3 |         14 |         58 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/classes/utility.gd                       | GDScript     |         35 |          0 |          6 |         41 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/default_env.tres                         | GDResource   |          5 |          0 |          3 |          8 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/keepass/Keepass.tscn                     | GDResource   |         57 |          0 |         12 |         69 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/keepass/Test.gd                          | GDScript     |         42 |          0 |         13 |         55 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/keepass/kpdx.gd                          | GDScript     |        168 |          9 |         31 |        208 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/project.godot                            | GDResource   |        121 |          7 |         17 |        145 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/Alert.gd                          | GDScript     |          6 |          0 |          4 |         10 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/Alert.tscn                        | GDResource   |         21 |          0 |          6 |         27 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/CSVImport.gd                      | GDScript     |        159 |          8 |         24 |        191 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/CSVImport.tscn                    | GDResource   |        106 |          0 |         21 |        127 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/Cell.gd                           | GDScript     |         16 |          0 |          8 |         24 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/Cell.tscn                         | GDResource   |         35 |          0 |          6 |         41 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/DataForm.gd                       | GDScript     |        266 |          4 |         66 |        336 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/DataForm.tscn                     | GDResource   |        147 |          0 |         27 |        174 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/DatePicker.gd                     | GDScript     |        100 |          1 |         29 |        130 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/DatePicker.tscn                   | GDResource   |        147 |          0 |         24 |        171 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/GroupButton.gd                    | GDScript     |          5 |          0 |          4 |          9 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/GroupButton.tscn                  | GDResource   |         13 |          0 |          5 |         18 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/Heading.gd                        | GDScript     |         27 |          0 |         12 |         39 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/Heading.tscn                      | GDResource   |         41 |          0 |          8 |         49 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/IDCheckBox.gd                     | GDScript     |          2 |          0 |          2 |          4 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/IDCheckBox.tscn                   | GDResource   |          6 |          0 |          3 |          9 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/ItemDetails.gd                    | GDScript     |        162 |          6 |         65 |        233 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/ItemDetails.tscn                  | GDResource   |        326 |          0 |         57 |        383 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/KeePassImport.gd                  | GDScript     |        319 |          6 |         50 |        375 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/KeePassImport.tscn                | GDResource   |         88 |          0 |         17 |        105 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/ModulatedTextureButton.gd         | GDScript     |         10 |          0 |          8 |         18 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/ModulatedTextureButton.tscn       | GDResource   |          8 |          0 |          3 |         11 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/PasswordForm.gd                   | GDScript     |         33 |          0 |         23 |         56 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/PasswordForm.tscn                 | GDResource   |         69 |          0 |         14 |         83 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/PasswordGenerator.gd              | GDScript     |         98 |          0 |         31 |        129 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/PasswordGenerator.tscn            | GDResource   |         72 |          0 |         14 |         86 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/ScrollableWindowDialog.gd         | GDScript     |         10 |          0 |          8 |         18 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/ScrollableWindowDialog.tscn       | GDResource   |         46 |          0 |         11 |         57 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/SetPasswordForm.tscn              | GDResource   |         62 |          0 |         13 |         75 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/Settings.gd                       | GDScript     |        135 |          2 |         52 |        189 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/Settings.tscn                     | GDResource   |        177 |          0 |         34 |        211 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/TextEntryPopup.gd                 | GDScript     |         23 |          0 |         11 |         34 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/TextEntryPopup.tscn               | GDResource   |         23 |          0 |          7 |         30 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/ViewButton.gd                     | GDScript     |          5 |          0 |          4 |          9 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/ViewButton.tscn                   | GDResource   |         21 |          0 |          5 |         26 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/Theme.tres                         | GDResource   |        355 |          0 |         49 |        404 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/box/box_background_normal.tres     | GDResource   |         12 |          0 |          2 |         14 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/box/box_background_pressed.tres    | GDResource   |         12 |          0 |          2 |         14 |
