"filename", "language", "GDResource", "GDScript", "XML", "Shell Script", "comment", "blank", "total"
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/KeePassImport.gd", "GDScript", 0, 319, 0, 0, 6, 50, 375
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/KeePassImport.tscn", "GDResource", 88, 0, 0, 0, 0, 17, 105
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/ModulatedTextureButton.gd", "GDScript", 0, 10, 0, 0, 0, 8, 18
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/ModulatedTextureButton.tscn", "GDResource", 8, 0, 0, 0, 0, 3, 11
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/PasswordForm.gd", "GDScript", 0, 33, 0, 0, 0, 23, 56
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/PasswordForm.tscn", "GDResource", 69, 0, 0, 0, 0, 14, 83
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/PasswordGenerator.gd", "GDScript", 0, 98, 0, 0, 0, 31, 129
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/PasswordGenerator.tscn", "GDResource", 72, 0, 0, 0, 0, 14, 86
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/ScrollableWindowDialog.gd", "GDScript", 0, 10, 0, 0, 0, 8, 18
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/ScrollableWindowDialog.tscn", "GDResource", 46, 0, 0, 0, 0, 11, 57
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/SetPasswordForm.tscn", "GDResource", 62, 0, 0, 0, 0, 13, 75
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/Settings.gd", "GDScript", 0, 135, 0, 0, 2, 52, 189
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/Settings.tscn", "GDResource", 177, 0, 0, 0, 0, 34, 211
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/TextEntryPopup.gd", "GDScript", 0, 23, 0, 0, 0, 11, 34
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/TextEntryPopup.tscn", "GDResource", 23, 0, 0, 0, 0, 7, 30
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/ViewButton.gd", "GDScript", 0, 5, 0, 0, 0, 4, 9
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/ViewButton.tscn", "GDResource", 21, 0, 0, 0, 0, 5, 26
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/Theme.tres", "GDResource", 355, 0, 0, 0, 0, 49, 404
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/box/box_background_normal.tres", "GDResource", 12, 0, 0, 0, 0, 2, 14
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/box/box_background_pressed.tres", "GDResource", 12, 0, 0, 0, 0, 2, 14
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/box/box_background_window.tres", "GDResource", 14, 0, 0, 0, 0, 2, 16
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/box/box_foreground_disable.tres", "GDResource", 12, 0, 0, 0, 0, 2, 14
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/box/box_foreground_hover.tres", "GDResource", 12, 0, 0, 0, 0, 2, 14
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/box/box_foreground_normal.tres", "GDResource", 12, 0, 0, 0, 0, 2, 14
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/box/box_foreground_pressed.tres", "GDResource", 13, 0, 0, 0, 0, 2, 15
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/icons/icon_gui_close.svg", "XML", 0, 0, 1, 0, 0, 1, 2
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/icons/icon_gui_close.svg.import", "GDResource", 30, 0, 0, 0, 0, 6, 36
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/style_settings.tscn", "GDResource", 177, 0, 0, 0, 0, 42, 219
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_bold_extra_large.tres", "GDResource", 6, 0, 0, 0, 0, 3, 9
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_bold_extra_small.tres", "GDResource", 6, 0, 0, 0, 0, 3, 9
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_bold_large.tres", "GDResource", 5, 0, 0, 0, 0, 3, 8
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_bold_normal.tres", "GDResource", 6, 0, 0, 0, 0, 3, 9
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_bold_small.tres", "GDResource", 6, 0, 0, 0, 0, 3, 9
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_regular_extra_large.tres", "GDResource", 6, 0, 0, 0, 0, 3, 9
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_regular_extra_small.tres", "GDResource", 6, 0, 0, 0, 0, 3, 9
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_regular_large.tres", "GDResource", 5, 0, 0, 0, 0, 3, 8
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_regular_normal.tres", "GDResource", 6, 0, 0, 0, 0, 3, 9
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_regular_small.tres", "GDResource", 6, 0, 0, 0, 0, 3, 9
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_adjacency_graphs.gd", "GDScript", 0, 7, 0, 0, 0, 2, 9
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_database.gd", "GDScript", 0, 17, 0, 0, 0, 3, 20
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_date.gd", "GDScript", 0, 45, 0, 0, 0, 8, 53
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_frequency_lists.gd", "GDScript", 0, 9, 0, 0, 0, 2, 11
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_matching.gd", "GDScript", 0, 492, 0, 0, 18, 54, 564
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_passwords.gd", "GDScript", 0, 64, 0, 0, 1, 9, 74
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_record.gd", "GDScript", 0, 4, 0, 0, 0, 2, 6
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_salsa.gd", "GDScript", 0, 14, 0, 0, 0, 5, 19
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_settings.gd", "GDScript", 0, 12, 0, 0, 2, 3, 17
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_utility.gd", "GDScript", 0, 20, 0, 0, 0, 4, 24
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_zxcvbn.gd", "GDScript", 0, 30, 0, 0, 4, 14, 48
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/zxcvbn/adjacency_graphs.gd", "GDScript", 0, 8, 0, 0, 1, 3, 12
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/zxcvbn/feedback.gd", "GDScript", 0, 125, 0, 0, 0, 16, 141
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/zxcvbn/frequency_lists.gd", "GDScript", 0, 7, 0, 0, 0, 4, 11
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/zxcvbn/matching.gd", "GDScript", 0, 545, 0, 0, 94, 90, 729
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/zxcvbn/scoring.gd", "GDScript", 0, 283, 0, 0, 101, 77, 461
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/zxcvbn/time_estimates.gd", "GDScript", 0, 72, 0, 0, 22, 14, 108
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/zxcvbn/zxcvbn.gd", "GDScript", 0, 14, 0, 0, 0, 7, 21
"Total", "-", 3068, 3980, 15, 1, 332, 1566, 8962
